日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/02/11,6614900,497844612,75.35,75.65,74.85,75.15,0.8,3137
108/02/12,6164150,465816739,75.35,75.75,75.35,75.65,0.5,2980
108/02/13,4157700,314193830,75.95,75.95,75.4,75.5,-0.15,1837
108/02/14,3641542,274887735,75.5,75.75,75.25,75.25,-0.25,1593
108/02/15,3516111,264409753,75.3,75.6,74.9,75.05,-0.2,1796
108/02/18,6596163,499575240,75.5,75.9,75.5,75.65,0.6,3143
108/02/19,2862069,216303714,75.7,75.7,75.5,75.5,-0.15,2168
108/02/20,34307853,2619961938,75.9,76.5,75.9,76.35,0.85,9607
108/02/21,18664815,1433791393,76.4,77.1,76.4,77.1,0.75,4467
108/02/22,9881017,758887009,76.95,76.95,76.5,76.95,-0.15,6936
108/02/25,19365354,1501862131,77.35,77.75,77.3,77.5,0.55,4458
108/02/26,15903051,1234156605,77.65,77.8,77.3,77.7,0.2,5707
108/02/27,12907489,1000792293,77.7,77.7,77.35,77.65,-0.05,3460
