日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/09/03,3670077,318489642,86.95,87.2,86.4,86.45,-0.5,1852
107/09/04,2357725,204511025,86.8,87.0,86.45,87.0,0.55,1553
107/09/05,2496308,217228848,87.0,87.3,86.7,87.0,0.0,1053
107/09/06,1945889,168384874,86.9,86.9,86.2,86.5,-0.5,1168
107/09/07,2505908,216029254,86.2,86.45,86.0,86.4,-0.1,1256
107/09/10,5319281,457230691,86.6,86.6,85.65,86.0,-0.4,2224
107/09/11,19525404,1672322444,85.95,86.0,85.4,85.65,-0.35,7801
107/09/12,18583973,1588075828,85.85,85.9,85.25,85.55,-0.1,7809
107/09/13,20996200,1789506288,85.8,85.8,84.9,84.95,-0.6,9849
107/09/14,8616375,741763887,85.75,86.5,85.6,86.5,1.55,3095
107/09/17,8988960,773023506,86.5,86.5,85.7,85.85,-0.65,2440
107/09/18,6140571,524809750,85.6,85.7,85.2,85.4,-0.45,2243
107/09/19,6881627,591822766,85.8,86.3,85.7,86.15,0.75,3226
107/09/20,4159776,357894112,86.45,86.55,85.8,85.9,-0.25,1030
107/09/21,7370439,636825668,86.25,86.85,85.9,86.85,0.95,2626
107/09/25,7506252,652734924,86.65,87.15,86.6,87.1,0.25,2984
107/09/26,8036503,698254201,86.9,87.0,86.75,86.9,-0.2,2692
107/09/27,27800036,2423747411,86.6,87.45,86.6,87.35,0.45,8114
107/09/28,13202371,1151404227,87.35,87.65,86.6,86.9,-0.45,4328
