日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/04/01,11053405,886568240,80.0,80.4,79.6,79.85,0.7,3749
108/04/02,5605092,449896022,80.1,80.45,80.1,80.15,0.3,2132
108/04/03,6867174,550702889,80.4,80.45,79.95,80.15,0.0,3017
108/04/08,7990782,646213579,80.8,81.0,80.7,80.9,0.75,3458
108/04/09,15272047,1239718747,80.95,81.4,80.85,81.4,0.5,6181
108/04/10,10863161,883369153,81.1,81.55,81.1,81.5,0.1,3214
108/04/11,8272430,671920398,81.35,81.55,80.9,81.15,-0.35,2220
108/04/12,7498409,608347094,81.15,81.3,81.0,81.1,-0.05,1806
108/04/15,7681554,628500222,81.65,82.0,81.55,81.85,0.75,4160
108/04/16,7767931,637026518,81.85,82.15,81.8,82.1,0.25,3439
108/04/17,23104837,1911820959,82.3,82.9,82.3,82.75,0.65,5342
108/04/18,20690365,1716538233,82.9,83.35,82.45,82.7,-0.05,3185
108/04/19,12515659,1038666179,83.25,83.5,82.7,82.8,0.1,2347
108/04/22,2874312,238232670,83.0,83.1,82.65,82.7,-0.1,1478
108/04/23,6012031,498598254,82.7,83.2,82.55,83.05,0.35,2105
108/04/24,3108556,258856445,83.4,83.55,82.9,83.2,0.15,1665
108/04/25,3529039,293890589,83.1,83.45,83.0,83.4,0.2,1588
108/04/26,3815090,314520959,82.8,82.8,82.2,82.45,-0.95,2520
108/04/29,3161957,261464012,82.6,82.95,82.5,82.8,0.35,1462
108/04/30,3247891,268471136,82.8,82.9,82.4,82.8,0.0,1525
