日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/08/01,4012507,345034802,85.8,86.2,85.8,86.15,0.6,1507
107/08/02,4774950,408144300,86.1,86.15,84.85,84.85,-1.3,1255
107/08/03,1225166,104806018,85.4,85.7,85.35,85.55,0.7,661
107/08/06,2424671,208061157,85.55,86.1,85.35,85.7,0.15,1169
107/08/07,1199281,102654664,85.7,85.8,85.4,85.5,-0.2,893
107/08/08,4074984,351307291,85.8,86.4,85.8,86.15,0.65,1274
107/08/09,1631789,140409677,86.1,86.25,85.7,86.15,0.0,860
107/08/10,1279917,109887403,85.7,86.15,85.65,85.7,-0.45,717
107/08/13,7284934,613593198,85.05,85.05,83.65,83.95,-1.75,3154
107/08/14,2243205,189202665,84.4,84.6,84.05,84.55,0.6,1082
107/08/15,4279671,358442697,84.5,84.5,83.45,83.75,-0.8,2778
107/08/16,4532542,378662628,83.25,84.1,83.05,83.8,0.05,1957
107/08/17,4640039,388914326,83.95,84.15,83.6,83.65,-0.15,1655
107/08/20,3147996,264000882,83.9,84.1,83.7,83.95,0.3,1466
107/08/21,5023058,423888290,83.9,84.65,83.9,84.55,0.6,1700
107/08/22,3545768,300217040,84.7,84.85,84.35,84.65,0.1,1156
107/08/23,3869236,328564580,84.8,85.2,84.6,85.05,0.4,903
107/08/24,2549174,216059090,85.0,85.1,84.45,84.8,-0.25,810
107/08/27,5025454,428795783,85.0,85.55,85.0,85.55,0.75,1853
107/08/28,8288078,714613443,85.95,86.4,85.95,86.25,0.7,2833
107/08/29,13383846,1164633494,86.45,87.35,86.45,87.25,1.0,4145
107/08/30,9894177,869371023,87.8,88.35,87.45,87.55,0.3,3515
107/08/31,4245610,368332289,87.0,87.0,86.45,86.95,-0.6,2097
