日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/07/02,4175628,340342167,81.5,81.9,81.0,81.05,-0.40,1476
107/07/03,5023687,407797091,81.3,81.95,80.6,81.15,+0.10,1445
107/07/04,1746449,142005065,81.15,81.6,81.1,81.4,+0.25,720
107/07/05,3119082,252501708,81.45,81.45,80.6,80.75,-0.65,1163
107/07/06,5351492,431770914,81.1,81.15,80.2,80.95,+0.20,1679
107/07/09,9040778,742124242,81.75,82.45,81.55,82.25,+1.30,2919
107/07/10,4913802,405509024,82.65,82.8,82.35,82.45,+0.20,2340
107/07/11,3899069,317877992,81.7,81.9,81.3,81.7,-0.75,1081
107/07/12,6882846,567290801,81.6,82.65,81.5,82.65,+0.95,2051
107/07/13,13661779,1135575906,83.0,83.4,82.8,83.35,+0.70,4818
107/07/16,5332432,443588641,83.3,83.45,83.0,83.0,-0.35,1945
107/07/17,2992751,247259857,82.85,82.85,82.4,82.55,-0.45,949
107/07/18,13174455,1096705424,83.15,83.5,82.95,83.05,+0.50,6528
107/07/19,13217661,1104868177,83.1,83.8,83.05,83.3,+0.25,3471
107/07/20,18403370,1554789461,84.0,84.7,84.0,84.65,+1.35,5400
107/07/23,8504472,717700336,84.3,84.75,83.85,84.55,X0.00,2543
107/07/24,5116814,432638596,84.45,84.7,84.15,84.7,+0.15,2053
107/07/25,6352201,538152149,84.05,84.85,84.05,84.75,+0.05,1862
107/07/26,8471170,720308687,84.75,85.25,84.75,85.0,+0.25,2884
107/07/27,5947118,508730875,85.1,85.75,85.1,85.7,+0.70,1942
107/07/30,3230410,276780248,85.65,85.9,85.4,85.55,-0.15,1179
107/07/31,2739663,234041326,85.35,85.7,85.05,85.55,0.00,1056
