日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/01/02,8532073,636107101,75.85,75.9,73.95,74.05,-1.45,4102
108/01/03,13347147,981181870,73.8,74.0,73.25,73.35,-0.70,5208
108/01/04,21292465,1540084560,72.8,72.8,72.0,72.2,-1.15,8826
108/01/07,14605638,1077319115,73.55,74.05,73.25,73.95,+1.75,4891
108/01/08,11006700,811364720,74.15,74.15,73.55,73.65,-0.30,2869
108/01/09,11430523,855269355,73.95,75.15,73.95,75.0,+1.35,5277
108/01/10,2823283,210937625,74.8,74.9,74.5,74.8,-0.20,1231
108/01/11,10362915,782200792,75.3,75.75,75.15,75.5,+0.70,3660
108/01/14,5298405,397504723,75.45,75.45,74.75,75.0,-0.50,2018
108/01/15,11836450,894286699,75.05,75.8,75.05,75.65,+0.65,5250
108/01/16,15342503,1159613447,75.65,75.7,75.35,75.55,-0.10,5360
108/01/17,10020739,756877394,75.6,75.9,75.15,75.55,0.00,3137
108/01/18,8293491,629378860,75.75,76.1,75.4,75.95,+0.40,5013
108/01/21,10454756,799923534,76.35,76.7,76.25,76.5,+0.55,3895
108/01/22,8838931,653814320,74.4,74.4,73.8,74.05,X0.00,4742
108/01/23,6407442,472728408,74.0,74.0,73.65,73.7,-0.35,3167
108/01/24,3500506,258832935,73.95,74.15,73.75,74.05,+0.35,1363
108/01/25,7320778,548115919,74.6,75.1,74.55,75.0,+0.95,3322
108/01/28,3825143,287814225,75.15,75.45,75.05,75.15,+0.15,1795
108/01/29,4419790,328663492,74.5,74.55,74.2,74.5,-0.65,2251
108/01/30,5255229,390864071,74.5,74.65,74.2,74.35,-0.15,1833
