日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/06/01,1848694,150141515,80.8,81.45,80.8,81.35,0.6,818
107/06/04,7081064,583108366,81.8,82.6,81.8,82.6,1.25,2675
107/06/05,2695921,222338374,82.7,82.7,82.25,82.5,-0.1,1361
107/06/06,6398322,531456226,82.65,83.35,82.65,83.3,0.8,2988
107/06/07,6704318,557849318,83.5,83.6,83.0,83.45,0.15,1499
107/06/08,3469539,287811322,83.3,83.3,82.5,82.55,-0.9,980
107/06/11,3264375,269605262,82.8,82.95,82.4,82.65,0.1,838
107/06/12,2243224,184469445,82.25,82.5,81.95,82.5,-0.15,697
107/06/13,4668145,386299235,82.45,83.1,82.35,83.0,0.5,1475
107/06/14,3564268,292513426,82.5,82.55,81.75,81.75,-1.25,1517
107/06/15,3862122,314683389,81.6,81.95,81.2,81.95,0.2,1377
107/06/19,4994238,403588078,81.1,81.2,80.6,80.6,-1.35,2728
107/06/20,7866995,637796526,80.65,81.7,80.3,81.5,0.9,4099
107/06/21,2134851,173683734,81.5,81.6,81.2,81.25,-0.25,1305
107/06/22,6482461,523157693,80.8,81.2,80.35,81.15,-0.1,2708
107/06/25,7993181,646507087,80.85,81.05,80.7,80.9,-0.25,3482
107/06/26,16434141,1320542535,80.7,80.7,80.0,80.7,-0.2,7473
107/06/27,8308049,668958497,80.75,80.9,80.3,80.4,-0.3,3764
107/06/28,12064020,965311034,80.05,80.4,79.8,80.05,-0.35,4165
107/06/29,6584213,532141516,80.3,81.55,80.2,81.45,1.4,3155
