日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/10/01,9595908,821807362,84.8,86.0,84.8,85.95,1.35,4149
108/10/02,5653658,484713271,85.6,85.9,85.6,85.65,-0.3,1448
108/10/03,4868237,412892945,84.4,85.1,84.3,84.8,-0.85,1734
108/10/04,3746987,318959376,85.2,85.4,84.75,85.15,0.35,1128
108/10/07,4140747,353756450,85.4,85.65,85.2,85.45,0.3,2881
108/10/08,12195435,1054012283,85.85,86.6,85.85,86.5,1.05,3364
108/10/09,6916829,594801990,86.15,86.2,85.8,85.8,-0.7,1835
108/10/14,9491298,828885815,87.0,87.55,87.0,87.55,1.75,3957
108/10/15,4377610,383575647,87.55,87.85,87.3,87.7,0.15,2163
108/10/16,3983672,350582692,88.0,88.15,87.85,88.1,0.4,2926
108/10/17,2540883,223655954,88.05,88.15,87.8,88.15,0.05,1408
108/10/18,2815798,248106090,88.15,88.65,87.9,87.95,-0.2,1592
108/10/21,1077652,94700394,87.95,88.0,87.75,87.85,-0.1,1257
108/10/22,3256399,288438607,88.2,88.8,88.2,88.7,0.85,1639
108/10/23,2580656,228554820,88.7,88.8,88.3,88.45,-0.25,1289
108/10/24,2579559,228735385,88.7,88.8,88.5,88.8,0.35,1523
108/10/25,7971190,708933934,89.2,89.2,88.6,88.8,0.0,2550
108/10/28,5009774,446669910,89.25,89.3,89.0,89.2,0.4,2550
108/10/29,7410985,663510736,89.5,89.65,89.35,89.45,0.25,2800
108/10/30,5384270,482121683,89.45,89.85,89.3,89.85,0.4,1803
108/10/31,9458164,854001219,89.9,90.6,89.9,90.1,0.25,2116
