日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/05/02,6155563,511743438,82.95,83.45,82.9,83.0,0.2,2206
108/05/03,30324466,2531398997,83.1,83.8,83.1,83.75,0.75,2939
108/05/06,7463612,614195906,82.6,82.6,82.05,82.3,-1.45,3956
108/05/07,14011442,1163500108,82.65,83.3,82.65,83.15,0.85,3021
108/05/08,13573142,1120446358,82.4,82.85,82.25,82.55,-0.6,2189
108/05/09,6923673,565348226,82.15,82.2,81.25,81.55,-1.0,4032
108/05/10,11794135,961017047,81.55,82.15,80.9,81.5,-0.05,4632
108/05/13,18678106,1503424339,81.1,81.1,80.1,80.15,-1.35,9159
108/05/14,20279630,1613491800,79.6,80.05,78.9,79.65,-0.5,9964
108/05/15,17261839,1376616520,79.65,80.0,79.45,79.75,0.1,8236
108/05/16,17099974,1355088953,79.5,79.6,79.0,79.05,-0.7,7751
108/05/17,23573826,1854550805,79.5,79.55,78.25,78.25,-0.8,11522
108/05/20,14304763,1121570149,78.5,78.8,78.15,78.2,-0.05,6896
108/05/21,19814843,1548066469,78.0,78.45,77.7,78.4,0.2,6058
108/05/22,10557991,827306010,78.2,78.65,78.1,78.4,0.0,4582
108/05/23,25682577,1979998024,77.85,77.85,76.85,76.95,-1.45,13162
108/05/24,6029424,465499944,77.05,77.5,77.0,77.35,0.4,3250
108/05/27,11541072,890073086,77.5,77.5,76.85,77.15,-0.2,5535
108/05/28,9812310,755742961,77.25,77.25,76.85,77.1,-0.05,4361
108/05/29,9659519,740038363,76.5,76.8,76.3,76.75,-0.35,4380
108/05/30,7658659,591824718,76.75,77.5,76.75,77.4,0.65,3474
108/05/31,7566310,590619995,77.35,78.45,77.3,78.45,1.05,3611
