日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/08/01,5042943,414858242,82.2,82.55,82.1,82.3,-0.5,2632
108/08/02,16846402,1362560110,81.05,81.2,80.6,80.95,-1.35,6921
108/08/05,20659506,1657565764,80.7,80.85,79.9,80.15,-0.8,9417
108/08/06,24901846,1968227195,78.65,80.45,78.5,80.1,-0.05,10838
108/08/07,16856004,1345630493,80.15,80.2,79.55,79.7,-0.4,7603
108/08/08,5036121,405560691,80.05,80.8,80.0,80.65,0.95,2802
108/08/12,3168030,255436705,80.65,80.85,80.15,80.6,-0.05,2171
108/08/13,7431519,593128279,80.15,80.15,79.55,79.7,-0.9,4255
108/08/14,7382138,595173755,80.7,80.8,80.3,80.3,0.6,3019
108/08/15,15972089,1267223096,79.2,79.6,79.1,79.4,-0.9,6769
108/08/16,6158748,492012872,79.45,80.35,79.25,80.35,0.95,3689
108/08/19,6475352,522065179,80.75,80.9,80.3,80.8,0.45,3347
108/08/20,4179197,338309857,80.85,81.1,80.8,81.0,0.2,2012
108/08/21,6092896,493794088,80.95,81.15,80.9,81.1,0.1,3233
108/08/22,9379398,763036338,81.3,81.65,80.8,80.9,-0.2,3542
108/08/23,3211036,259903716,80.9,81.1,80.75,81.0,0.1,1804
108/08/26,12292310,980575763,79.8,80.1,79.6,79.65,-1.35,5857
108/08/27,2535864,202789305,80.15,80.2,79.75,79.85,0.2,1369
108/08/28,3318188,266715323,80.1,80.55,80.1,80.4,0.55,1606
108/08/29,3233649,259494308,80.45,80.6,80.0,80.55,0.15,964
108/08/30,19370894,1581406102,81.15,81.9,81.15,81.85,1.3,5592
