日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/03/04,8469570,652787218,77.55,77.55,76.7,76.95,-0.7,4887
108/03/05,9400493,720525122,76.6,76.9,76.45,76.75,-0.2,2830
108/03/06,19579792,1505450934,76.85,77.05,76.75,76.95,0.2,3193
108/03/07,18239770,1399918017,76.9,77.05,76.6,76.65,-0.3,1946
108/03/08,9975200,758523703,76.2,76.35,75.8,76.0,-0.65,2853
108/03/11,4642390,352680831,75.85,76.15,75.7,76.15,0.15,2280
108/03/12,13857468,1070170012,76.85,77.45,76.8,77.25,1.1,3796
108/03/13,10148529,781685019,77.05,77.2,76.8,77.1,-0.15,1763
108/03/14,5208756,402155617,77.3,77.4,76.95,77.05,-0.05,1343
108/03/15,11483751,890275774,77.35,77.7,77.15,77.6,0.55,3164
108/03/18,12218708,952368177,77.75,78.1,77.65,78.1,0.5,4228
108/03/19,8604296,672547372,78.1,78.4,77.85,78.4,0.3,2634
108/03/20,11856027,929902949,78.35,78.55,78.2,78.5,0.1,4868
108/03/21,11341213,894798086,78.8,79.15,78.65,79.15,0.65,3766
108/03/22,6930357,550253696,79.5,79.7,79.05,79.35,0.2,2993
108/03/25,7020756,548329150,78.1,78.35,78.0,78.15,-1.2,2790
108/03/26,2700090,212178105,78.5,78.7,78.4,78.65,0.5,1328
108/03/27,2555684,200669301,78.45,78.7,78.2,78.5,-0.15,959
108/03/28,3415432,267952933,78.3,78.6,78.15,78.5,0.0,977
108/03/29,5680484,448318722,78.7,79.15,78.25,79.15,0.65,1629
