日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/01/02,4882015,476649683,97.05,98.0,97.05,97.65,+0.70,2421
109/01/03,6813547,665657992,98.3,98.7,97.0,97.65,0.00,3080
109/01/06,9321768,901060879,97.05,97.1,96.4,96.4,-1.25,4809
109/01/07,6328602,607425541,96.45,96.7,95.4,96.1,-0.30,4116
109/01/08,8516995,813733739,95.2,96.2,95.05,95.65,-0.45,5033
109/01/09,7163943,693086421,96.3,97.1,96.3,96.95,+1.30,3879
109/01/10,9071925,882408791,97.5,97.8,96.95,97.3,+0.35,4900
109/01/13,6650898,650806854,97.85,98.1,97.5,98.0,+0.70,2883
109/01/14,11544956,1138704185,98.5,98.85,98.4,98.6,+0.60,6403
109/01/15,10259354,1004716001,98.7,98.7,97.45,97.6,-1.00,5316
109/01/16,8686499,844614108,97.15,97.5,97.0,97.3,-0.30,2646
109/01/17,8121134,791003262,97.7,97.75,97.1,97.3,0.00,2944
109/01/20,6969945,681688026,97.55,98.0,97.55,97.7,+0.40,3130
109/01/30,32262874,3014149166,95.0,95.0,92.15,92.15,-5.55,16273
109/01/31,22497767,2030143514,90.65,90.65,89.65,89.95,X0.00,11950
