日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/06/03,6017694,470593299,78.2,78.65,77.65,78.55,0.1,2880
108/06/04,7228829,565425109,78.45,78.6,78.0,78.05,-0.5,2675
108/06/05,7051894,554017619,78.85,78.95,78.25,78.3,0.25,3047
108/06/06,7456203,579216003,77.7,77.85,77.45,77.7,-0.6,3663
108/06/10,7666763,604180835,78.65,79.05,78.35,79.05,1.35,3677
108/06/11,10623986,844354556,79.2,79.8,79.05,79.4,0.35,5118
108/06/12,9258296,736850634,79.4,79.8,79.25,79.7,0.3,4028
108/06/13,5914941,468466446,79.4,79.55,78.95,79.05,-0.65,2874
108/06/14,3164087,249813323,79.0,79.15,78.8,78.9,-0.15,1824
108/06/17,6141128,483052353,78.45,78.95,78.1,78.7,-0.2,3732
108/06/18,2890377,227779433,78.8,79.0,78.6,78.9,0.2,1195
108/06/19,21832509,1754258999,80.0,80.8,79.95,80.75,1.85,8538
108/06/20,11581994,936579222,80.75,81.0,80.65,80.85,0.1,4459
108/06/21,15343532,1243301534,81.1,81.2,80.8,80.85,0.0,8013
108/06/24,16600747,1347119158,80.8,81.5,80.7,81.2,0.35,5396
108/06/25,7941128,643677923,81.15,81.4,80.6,80.75,-0.45,2804
108/06/26,5913352,475566304,80.6,80.6,80.25,80.35,-0.4,2313
108/06/27,15351329,1248736184,80.55,81.6,80.55,81.5,1.15,4177
108/06/28,3940686,319369533,81.45,81.55,80.85,80.9,-0.6,1867
