日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/09/02,6457870,528610814,81.8,82.0,81.65,81.9,0.05,2082
108/09/03,5052925,413343221,81.85,82.0,81.2,81.2,-0.7,2534
108/09/04,10748771,881536222,81.45,82.2,81.4,82.15,0.95,4277
108/09/05,25429390,2110355549,82.55,83.2,82.55,83.0,0.85,7984
108/09/06,17226303,1437582238,83.25,83.55,83.25,83.5,0.5,7833
108/09/09,12633348,1058619857,83.7,84.0,83.65,83.8,0.3,4942
108/09/10,5171847,431764155,83.95,83.95,83.2,83.4,-0.4,3012
108/09/11,4746200,396473497,83.75,83.9,83.3,83.45,0.05,1766
108/09/12,9281122,779861376,84.1,84.25,83.75,83.9,0.45,3785
108/09/16,10929792,920529834,84.0,84.45,83.95,84.4,0.5,4660
108/09/17,4966780,418697583,84.4,84.45,84.2,84.25,-0.15,1650
108/09/18,16999486,1442542539,84.4,85.0,84.35,84.95,0.7,5496
108/09/19,7777364,658987087,84.95,85.15,84.4,84.45,-0.5,2503
108/09/20,8231699,697865048,84.65,84.9,84.65,84.7,0.25,2092
108/09/23,4369839,369772132,84.65,84.85,84.5,84.5,-0.2,1478
108/09/24,4852012,410605292,84.5,84.85,84.35,84.65,0.15,1642
108/09/25,3927674,330124238,84.35,84.35,83.9,84.1,-0.55,2438
108/09/26,5194687,438729412,84.45,84.7,84.15,84.3,0.2,1534
108/09/27,8884695,752473986,84.9,85.2,84.5,84.6,0.3,1964
