日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/04/02,3737299,307813730,82.85,82.95,82.15,82.25,-0.7,1099
107/04/03,6187523,503435586,81.5,81.55,81.2,81.5,-0.75,2624
107/04/09,3401430,278923482,82.15,82.3,81.6,82.2,0.7,1167
107/04/10,3860497,318719411,82.1,82.85,81.75,82.5,0.3,1039
107/04/11,2603653,215930349,82.9,83.1,82.75,82.85,0.35,1252
107/04/12,3591573,296423097,83.05,83.15,82.25,82.5,-0.35,1267
107/04/13,2982732,246303554,82.7,82.8,82.3,82.5,0.0,792
107/04/16,1809198,148796053,82.65,82.65,82.0,82.3,-0.2,761
107/04/17,4325040,352876030,82.4,82.4,81.35,81.4,-0.9,2223
107/04/18,3739837,305624331,81.6,82.1,81.35,81.6,0.2,1306
107/04/19,4461269,367816687,81.9,82.65,81.9,82.65,1.05,1200
107/04/20,9017715,728325834,81.0,81.1,80.5,80.75,-1.9,3705
107/04/23,10624780,850769704,80.25,80.45,79.9,79.95,-0.8,5274
107/04/24,16867787,1341875510,79.9,79.95,79.05,79.55,-0.4,6924
107/04/25,16460997,1301833349,79.25,79.3,78.8,79.3,-0.25,7679
107/04/26,16485778,1305124761,79.7,79.7,78.8,79.05,-0.25,6863
107/04/27,12395611,979827894,79.6,79.65,78.8,79.2,0.15,4730
107/04/30,6516983,519421423,79.65,80.15,79.05,80.0,0.8,2677
