日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/03/01,4344220,354595798,81.55,81.95,81.15,81.75,-0.6,2554
107/03/02,6262361,505982082,80.85,81.2,80.45,81.15,-0.6,2846
107/03/05,3723757,301898098,81.1,81.5,80.65,80.75,-0.4,1223
107/03/06,5732204,469203518,81.65,82.15,81.6,82.15,1.4,1756
107/03/07,2619161,214899152,81.75,82.45,81.7,81.8,-0.35,1029
107/03/08,3232583,266947148,82.15,82.8,82.15,82.75,0.95,1396
107/03/09,2832064,234740002,82.9,83.0,82.7,82.85,0.1,986
107/03/12,8752324,735446031,83.6,84.25,83.55,84.15,1.3,2942
107/03/13,9837435,831704291,84.35,84.95,84.3,84.95,0.8,3126
107/03/14,3415928,287869559,84.35,84.45,84.0,84.3,-0.65,1373
107/03/15,3506898,295014773,84.0,84.3,83.9,84.25,-0.05,1533
107/03/16,5510671,460021500,84.0,84.2,83.1,83.9,-0.35,1652
107/03/19,2035534,170676406,83.65,84.1,83.45,83.85,-0.05,892
107/03/20,2895350,241726053,83.2,83.8,83.2,83.8,-0.05,1019
107/03/21,4891527,410076823,83.8,84.1,83.6,83.85,0.05,2337
107/03/22,3429925,288139929,84.0,84.6,83.45,83.55,-0.3,1608
107/03/23,8259738,677767488,81.85,82.4,81.8,82.1,-1.45,2816
107/03/26,4369122,357831903,81.85,82.2,81.6,82.2,0.1,1837
107/03/27,3277568,272571549,83.0,83.4,82.95,83.4,1.2,1015
107/03/28,4161192,343127725,82.9,82.9,82.2,82.25,-1.15,1306
107/03/29,4099855,336213829,82.25,82.35,81.8,82.1,-0.15,1127
107/03/30,4994090,414075827,82.65,83.05,82.65,82.85,0.75,1285
107/03/31,878295,72801339,82.85,83.05,82.75,82.95,0.1,495
