日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/11/01,2806778,252465747,90.0,90.2,89.75,90.1,0.0,1648
108/11/04,6730681,615367052,90.55,92.25,90.55,92.2,2.1,3034
108/11/05,3966279,367357250,92.4,92.9,92.35,92.9,0.7,2409
108/11/06,4494319,418107400,92.95,93.35,92.75,93.35,0.45,2691
108/11/07,3050118,282827556,93.2,93.2,92.35,92.85,-0.5,1940
108/11/08,2890536,267788689,93.0,93.05,92.4,92.55,-0.3,1583
108/11/11,5859344,535835470,92.4,92.45,91.05,91.15,-1.4,2994
108/11/12,2426297,222545554,91.55,92.0,91.55,92.0,0.85,1594
108/11/13,1935545,176904008,91.55,91.65,91.05,91.45,-0.55,1181
108/11/14,2174281,198947342,91.6,91.8,91.2,91.4,-0.05,1038
108/11/15,2510879,231639658,92.0,92.5,92.0,92.3,0.9,1536
108/11/18,2087613,193351977,92.5,92.9,92.4,92.9,0.6,1586
108/11/19,2821624,263329860,92.9,93.6,92.65,93.6,0.7,1750
108/11/20,7954619,741833623,93.6,93.6,93.1,93.25,-0.35,3259
108/11/21,3283838,302750501,92.3,92.55,91.8,92.5,-0.75,1619
108/11/22,1506544,139445637,92.55,92.75,92.4,92.55,0.05,931
108/11/25,2520694,234066063,93.0,93.1,92.55,92.6,0.05,2186
108/11/26,3827480,355795288,92.95,93.3,92.8,92.85,0.25,2029
108/11/27,1957676,181984052,92.85,93.2,92.75,93.2,0.35,1107
108/11/28,1352720,125715522,93.25,93.25,92.8,92.95,-0.25,887
108/11/29,5344208,490829372,92.85,92.85,91.45,91.5,-1.45,2592
