日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/07/01,13771395,1137417652,82.05,82.8,82.05,82.65,+1.75,5806
108/07/02,5209290,429828229,82.65,82.7,82.4,82.45,-0.20,2310
108/07/03,8615424,703409269,82.35,82.35,81.35,81.5,-0.95,2877
108/07/04,5777556,473795392,81.8,82.2,81.8,82.0,+0.50,1447
108/07/05,1612933,132235865,82.1,82.35,81.8,81.9,-0.10,1054
108/07/08,3859058,315505734,81.8,82.0,81.4,81.6,-0.30,1508
108/07/09,4083155,333023156,81.75,81.75,81.4,81.5,-0.10,1528
108/07/10,4427730,363405703,81.95,82.25,81.85,82.2,+0.70,1918
108/07/11,10379773,860205468,82.65,83.05,82.5,82.85,+0.65,4412
108/07/12,2972505,246251327,82.85,83.0,82.7,82.75,-0.10,1440
108/07/15,9336043,775528066,82.85,83.35,82.25,83.2,+0.45,3389
108/07/16,5503245,458848605,83.2,83.45,83.15,83.35,+0.15,2645
108/07/17,10598530,879178624,83.25,83.25,82.8,82.8,-0.55,4107
108/07/18,7541026,624408018,82.6,82.95,82.6,82.7,-0.10,1759
108/07/19,9780922,814129776,83.0,83.45,83.0,83.0,X0.00,3437
108/07/22,8368544,698062737,83.1,83.5,83.1,83.4,+0.40,3434
108/07/23,5899116,493687372,83.6,83.9,83.5,83.6,+0.20,2505
108/07/24,3364336,281628164,83.75,83.9,83.55,83.55,-0.05,1397
108/07/25,4931659,412670155,83.55,83.8,83.4,83.8,+0.25,1798
108/07/26,3129687,260812774,83.4,83.4,83.2,83.25,-0.55,1837
108/07/29,3042246,253325799,83.1,83.45,83.05,83.45,+0.20,1346
108/07/30,2083374,173777513,83.6,83.7,83.2,83.2,-0.25,1207
108/07/31,3119262,258060696,83.15,83.15,82.45,82.8,-0.40,1492
