日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/12/02,2068341,190189977,91.95,92.15,91.75,92.05,0.55,1568
108/12/03,1410794,129802491,91.7,92.2,91.6,92.05,0.0,807
108/12/04,2310508,211810503,91.85,91.9,91.4,91.7,-0.35,1026
108/12/05,3441050,319239879,92.35,93.0,92.2,92.9,1.2,1898
108/12/06,3394433,316362892,93.3,93.5,92.75,93.05,0.15,1691
108/12/09,2912194,272545756,93.2,93.8,93.2,93.65,0.6,2016
108/12/10,5465431,508711057,93.4,93.4,92.8,93.0,-0.65,1356
108/12/11,1936772,181023950,93.0,93.75,92.95,93.75,0.75,1512
108/12/12,8420111,805189010,94.35,96.1,94.35,95.85,2.1,3414
108/12/13,5880136,570464417,96.75,97.4,96.7,96.9,1.05,3045
108/12/16,4482448,434247973,96.95,97.05,96.65,96.85,-0.05,3153
108/12/17,4703223,458806704,96.75,98.15,96.7,98.15,1.3,2810
108/12/18,3762355,368980745,98.0,98.3,97.8,98.2,0.05,2718
108/12/19,2271007,222130098,98.15,98.2,97.55,97.65,-0.55,1774
108/12/20,3353485,325788665,97.55,97.55,96.7,96.95,-0.7,2393
108/12/23,3416729,331574305,97.0,97.3,96.95,97.15,0.2,2170
108/12/24,1409728,137094824,97.3,97.45,97.2,97.2,0.05,830
108/12/25,1789167,173900527,97.2,97.45,97.05,97.35,0.15,1847
108/12/26,3095969,301266167,97.55,97.55,97.1,97.35,0.0,1119
108/12/27,2978047,291993656,97.6,98.15,97.6,98.0,0.65,1942
108/12/30,3138762,307621326,98.0,98.25,97.6,97.8,-0.2,1941
108/12/31,4303947,417657710,97.1,97.2,96.95,96.95,-0.85,1852
