日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/01/02,3613199,298033251,82.15,82.6,82.15,82.6,+0.45,1795
107/01/03,7196437,599476413,82.95,83.45,82.95,83.35,+0.75,3014
107/01/04,5627565,469312820,83.5,83.65,83.2,83.5,+0.15,2278
107/01/05,7616796,636768692,83.5,83.8,83.3,83.75,+0.25,2562
107/01/08,5189611,435775639,83.8,84.15,83.7,84.1,+0.35,2282
107/01/09,3664716,308057554,84.1,84.25,83.9,84.15,+0.05,1340
107/01/10,5749597,482358793,84.1,84.25,83.55,83.75,-0.40,1073
107/01/11,2579225,214867793,83.65,83.7,83.1,83.4,-0.35,735
107/01/12,2871193,241214778,83.55,84.2,83.5,84.1,+0.70,1002
107/01/15,2819852,238493616,84.55,84.7,84.4,84.65,+0.55,1126
107/01/16,3955841,335496385,84.65,85.0,84.5,85.0,+0.35,1295
107/01/17,5698268,485174071,84.65,85.45,84.65,85.15,+0.15,2017
107/01/18,6898803,594091024,85.5,86.55,85.5,86.3,+1.15,2272
107/01/19,5302072,461040360,86.35,87.15,86.35,87.15,+0.85,1445
107/01/22,4441061,389066253,87.15,87.95,87.15,87.95,+0.80,1746
107/01/23,5799932,511405502,88.05,88.4,87.9,88.3,+0.35,1842
107/01/24,5103429,444907065,88.0,88.0,86.85,87.2,-1.10,1869
107/01/25,4983684,436967956,87.25,88.3,87.15,87.45,+0.25,1652
107/01/26,7774673,678481509,87.45,87.6,86.85,87.5,+0.05,3087
107/01/29,6445797,551350942,85.5,86.15,85.2,85.55,X0.00,3453
107/01/30,4966261,421572779,85.2,85.35,84.5,84.55,-1.00,2337
107/01/31,4251739,359040915,84.4,85.0,84.15,84.65,+0.10,1176
