日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/10/01,22409380,5882532290,262.0,264.0,261.0,263.0,0.5,11914
107/10/02,38391491,9926505357,262.0,263.0,257.0,257.5,-5.5,17095
107/10/03,25228536,6527393860,257.5,260.0,257.0,260.0,2.5,9992
107/10/04,38009727,9690178362,257.0,257.5,254.0,254.0,-6.0,15094
107/10/05,40396660,10101451270,250.0,253.0,248.5,250.0,-4.0,16031
107/10/08,51083958,12426290240,245.5,246.5,241.0,243.5,-6.5,20745
107/10/09,28933345,7051600725,243.5,245.0,242.0,244.0,0.5,11743
107/10/11,96033657,22115862239,233.5,233.5,227.0,227.5,-16.5,37543
107/10/12,54439769,12650322522,231.0,237.0,229.0,237.0,9.5,17980
107/10/15,46471280,10766953220,234.0,234.0,230.5,230.5,-6.5,16558
107/10/16,39129077,9155829047,229.5,237.0,229.0,237.0,6.5,15182
107/10/17,42887858,10318955161,241.5,243.0,238.0,238.5,1.5,17550
107/10/18,27793430,6587887632,238.0,239.0,235.5,236.5,-2.0,10599
107/10/19,29648460,6927405460,231.0,236.5,230.0,236.0,-0.5,12378
107/10/22,29275777,6872467149,232.5,238.0,231.5,237.0,1.0,10384
107/10/23,36757745,8538586595,232.0,234.0,230.0,230.0,-7.0,13071
107/10/24,45480950,10426514872,230.0,231.0,227.0,229.5,-0.5,17339
107/10/25,75524118,16643542368,220.5,222.0,219.5,219.5,-10.0,27514
107/10/26,54073644,11941421696,223.0,224.0,217.0,221.0,1.5,17106
107/10/29,18463792,4107663616,223.0,224.0,221.0,222.5,1.5,7679
107/10/30,29085931,6487213284,221.0,225.0,220.5,223.0,0.5,8574
107/10/31,59933201,13844478353,228.0,234.0,228.0,234.0,11.0,19183
