日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/02/11,81360106,18546167132,228.0,229.0,226.5,228.0,7.0,21689
108/02/12,30125670,6921488930,230.0,230.0,229.0,230.0,2.0,13313
108/02/13,28634925,6575201825,232.0,232.0,228.5,229.0,-1.0,10230
108/02/14,23647751,5392943977,229.5,230.0,226.0,227.0,-2.0,6873
108/02/15,22369799,5093773373,229.0,229.0,226.5,227.0,0.0,5743
108/02/18,18163916,4169729625,229.0,230.5,228.5,230.0,3.0,7035
108/02/19,18423023,4228108427,230.0,230.5,229.0,229.0,-1.0,6471
108/02/20,31887710,7430197670,231.5,234.5,231.0,234.5,5.5,14241
108/02/21,34013489,8013908284,235.5,236.5,234.5,236.5,2.0,11443
108/02/22,22032163,5187054985,235.5,236.5,234.0,236.5,0.0,6913
108/02/25,25227138,5995746054,237.5,239.0,236.0,238.0,1.5,8527
108/02/26,24586789,5864298571,239.0,240.0,236.5,239.5,1.5,7994
108/02/27,37947889,9052540803,238.5,239.5,237.0,239.0,-0.5,9931
