日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/08/01,29777161,7375488342,247.0,248.0,246.5,248.0,2.0,11667
107/08/02,22775110,5611725541,249.0,249.5,243.5,244.5,-3.5,10343
107/08/03,25165097,6205758662,246.0,248.0,245.0,247.0,2.5,9585
107/08/06,22364568,5487396854,245.0,247.0,244.0,245.5,-1.5,9732
107/08/07,24352418,5922738042,245.0,245.5,241.5,241.5,-4.0,9665
107/08/08,24382432,6011480272,245.0,247.5,244.5,247.5,6.0,10247
107/08/09,15128655,3740736404,247.0,248.0,246.0,247.0,-0.5,7127
107/08/10,16125492,3961311040,246.5,247.0,244.5,245.0,-2.0,6558
107/08/13,17881194,4302280285,241.5,243.0,239.0,240.5,-4.5,9875
107/08/14,17488913,4262753253,245.0,245.0,242.5,243.5,3.0,7415
107/08/15,19236321,4642117523,244.5,244.5,239.5,241.5,-2.0,8920
107/08/16,19155966,4587260340,238.0,241.5,238.0,239.0,-2.5,9397
107/08/17,19634474,4707354383,239.5,241.0,239.0,239.5,0.5,6680
107/08/20,17014437,4068729103,239.5,240.0,238.0,239.5,0.0,6640
107/08/21,13871127,3328215657,239.0,241.0,238.5,241.0,1.5,5474
107/08/22,12679240,3063201922,241.5,242.5,240.5,242.0,1.0,5009
107/08/23,17216240,4200671070,243.0,244.5,243.0,244.5,2.5,5660
107/08/24,15446943,3772959070,245.5,246.0,243.0,243.5,-1.0,5099
107/08/27,15579299,3825736755,246.0,246.5,244.5,245.0,1.5,7858
107/08/28,40410531,10075613779,248.5,250.0,248.0,249.5,4.5,16881
107/08/29,57633182,14784556456,253.5,259.0,253.5,259.0,9.5,25668
107/08/30,52622808,13914404873,264.5,268.0,262.5,263.5,4.5,22862
107/08/31,70000506,17920548387,257.5,259.0,254.0,256.0,-7.5,19019
