日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/12/03,49612186,11579966474,231.0,235.0,231.0,235.0,9.5,19747
107/12/04,41947162,9791147799,233.0,234.5,231.0,234.0,-1.0,12545
107/12/05,45634576,10316394736,226.5,227.5,225.0,226.0,-8.0,15703
107/12/06,40181112,8853295746,220.0,222.0,219.5,220.0,-6.0,15702
107/12/07,31997568,7097739916,222.5,223.5,220.5,221.0,1.0,8315
107/12/10,26229461,5744814170,219.5,220.0,218.5,219.0,-2.0,8650
107/12/11,27395220,6067551383,220.0,223.0,219.0,222.5,3.5,8509
107/12/12,32926379,7418108779,223.5,227.0,222.5,226.5,4.0,9117
107/12/13,32433141,7345479366,227.0,227.5,225.0,226.0,-0.5,8635
107/12/14,43226159,9570070114,223.0,223.5,220.5,222.5,-3.5,10454
107/12/17,18964952,4229977248,221.0,225.0,220.0,223.5,1.0,6449
107/12/18,30270541,6713448829,221.0,223.0,220.5,222.5,-1.0,10521
107/12/19,23415082,5255393450,222.0,225.5,222.0,225.5,3.0,7875
107/12/20,38697116,8573665030,221.0,222.5,221.0,221.0,-4.5,10528
107/12/21,46947532,10401202852,219.0,224.0,219.0,223.5,2.5,9554
107/12/22,5185247,1145814834,220.0,221.5,220.0,221.5,-2.0,2229
107/12/24,23376100,5151549100,221.5,221.5,219.5,220.0,-1.5,6122
107/12/25,19402777,4198767163,215.5,218.0,215.0,217.5,-2.5,8065
107/12/26,16893259,3678108462,218.5,219.5,216.0,216.5,-1.0,6998
107/12/27,21915484,4874845852,222.0,224.0,220.5,223.0,6.5,9531
107/12/28,30156773,6762447425,223.5,225.5,222.5,225.5,2.5,10247
