日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/04/02,19029003,4702581241,248.5,249.0,245.0,246.5,-1.0,6951
107/04/03,35813944,8710200224,243.0,244.5,242.0,244.0,-2.5,13270
107/04/09,35465824,8716801768,248.0,248.0,243.5,245.0,1.0,12437
107/04/10,25268994,6231896018,244.5,249.0,243.5,245.5,0.5,11912
107/04/11,21777935,5391978180,246.5,248.5,246.5,248.0,2.5,8813
107/04/12,20476657,5028226522,248.5,248.5,244.0,245.0,-3.0,6898
107/04/13,19946548,4885963546,246.0,246.0,244.0,244.5,-0.5,5549
107/04/16,21608528,5251556179,243.0,244.0,242.0,243.5,-1.0,8436
107/04/17,42756389,10232256860,243.0,243.5,237.5,238.0,-5.5,18381
107/04/18,44768048,10668587090,239.5,241.5,236.5,238.0,0.0,12132
107/04/19,33230989,8081404960,242.0,244.5,241.0,244.5,6.5,10987
107/04/20,129890087,29837344632,228.0,231.5,228.0,229.0,-15.5,46349
107/04/23,71901975,16282275410,226.5,227.5,225.0,226.5,-2.5,22048
107/04/24,45206892,10233860296,225.0,227.5,225.0,227.0,0.5,13970
107/04/25,48975110,11032111105,225.5,226.0,224.0,225.0,-2.0,15136
107/04/26,48176657,10766085521,225.0,225.5,221.0,222.0,-3.0,16253
107/04/27,34443459,7679131764,225.0,225.5,221.0,223.5,1.5,10859
107/04/30,28500789,6448117416,224.5,228.0,222.5,227.0,3.5,9480
