日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/04/01,35330656,8758161220,251.0,251.0,245.0,245.5,0.0,13292
108/04/02,25189053,6226523038,249.5,249.5,246.0,246.0,0.5,9171
108/04/03,28581323,7075597562,249.0,249.0,246.5,246.5,0.5,8067
108/04/08,46426821,11682512762,251.0,253.0,250.5,253.0,6.5,16430
108/04/09,22745674,5760337782,253.0,254.0,252.0,254.0,1.0,8323
108/04/10,33174934,8403528302,253.0,254.5,252.0,254.0,0.0,9992
108/04/11,25146840,6347861680,253.0,254.0,251.5,252.0,-2.0,8284
108/04/12,13888148,3496444666,251.5,253.0,251.0,252.0,0.0,4931
108/04/15,17257002,4403988510,255.0,256.0,254.0,255.5,3.5,6739
108/04/16,20231648,5185697928,257.0,257.0,255.5,257.0,1.5,7676
108/04/17,39037191,10202504410,260.0,263.0,259.5,261.5,4.5,13486
108/04/18,48525490,12836006732,264.0,266.0,263.5,264.5,3.0,12208
108/04/19,47698699,12712409558,269.0,269.5,263.5,264.5,0.0,14431
108/04/22,24967393,6635995145,266.5,267.5,265.0,266.0,1.5,8527
108/04/23,26251847,7017363629,266.5,268.0,266.0,268.0,2.0,9394
108/04/24,37386755,10044241090,270.0,270.0,267.5,269.0,1.0,9687
108/04/25,36572455,9800038536,268.5,269.0,267.0,267.5,-1.5,7331
108/04/26,51743804,13459329059,262.0,263.0,257.5,260.0,-7.5,16674
108/04/29,32651618,8477117257,260.0,262.0,258.5,259.5,-0.5,10407
108/04/30,40446419,10484399861,260.0,260.5,258.0,259.0,-0.5,10939
