日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/01/02,18055269,4188555408,231.5,232.5,231.0,232.5,3.0,9954
107/01/03,31706091,7504382512,236.0,238.0,235.5,237.0,4.5,13633
107/01/04,29179613,6963192636,240.0,240.0,236.5,239.5,2.5,10953
107/01/05,23721255,5681934695,240.0,240.0,238.0,240.0,0.5,8659
107/01/08,21846692,5281823362,242.0,242.5,240.5,242.0,2.0,10251
107/01/09,19043123,4588314012,242.0,242.0,239.5,242.0,0.0,7124
107/01/10,25716220,6118683273,241.5,242.0,236.0,236.5,-5.5,10534
107/01/11,32070338,7500674455,235.0,236.0,232.5,235.0,-1.5,9199
107/01/12,23141291,5463302207,234.5,238.0,233.5,237.0,2.0,7905
107/01/15,28576533,6832851887,240.0,240.0,238.0,240.0,3.0,9756
107/01/16,23407632,5609009540,240.0,240.5,238.0,240.5,0.5,8156
107/01/17,38118119,9207582787,240.5,243.0,239.0,242.0,1.5,12593
107/01/18,50119952,12406562364,245.0,250.0,245.0,248.5,6.5,19482
107/01/19,55061292,13975174348,253.5,255.5,251.5,255.5,7.0,18801
107/01/22,45907509,11934882643,257.5,262.0,257.0,261.5,6.0,13558
107/01/23,34606444,9155080569,262.5,266.0,262.5,266.0,4.5,13993
107/01/24,42600813,11022372004,263.0,263.0,256.5,258.0,-8.0,17287
107/01/25,46214756,11981089514,258.0,264.0,256.5,258.0,0.0,15826
107/01/26,43514523,11101977348,256.5,257.5,253.5,255.0,-3.0,12821
107/01/29,31306234,8067780117,259.0,261.5,255.0,258.5,3.5,12211
107/01/30,37410591,9523980994,256.0,257.5,252.5,253.0,-5.5,12987
107/01/31,45807808,11670582000,253.0,257.5,252.0,255.0,2.0,13553
