日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/11/01,30216678,8998151212,299.5,299.5,296.5,299.0,0.5,10241
108/11/04,45155671,13767873778,302.5,308.0,301.0,307.0,8.0,18475
108/11/05,32253184,9965563625,307.5,310.5,307.0,310.5,3.5,13698
108/11/06,22149743,6864516290,309.0,311.5,308.0,311.0,0.5,9660
108/11/07,28453659,8769417841,310.0,310.0,306.5,309.0,-2.0,12277
108/11/08,26230542,8040782450,308.5,309.0,305.5,305.5,-3.5,12740
108/11/11,35285583,10660082266,305.0,305.0,300.0,301.0,-4.5,15246
108/11/12,19016708,5774255431,302.5,305.0,302.0,305.0,4.0,8957
108/11/13,18422438,5583245970,303.0,304.0,301.5,304.0,-1.0,6039
108/11/14,15734835,4776767840,304.5,305.0,302.0,303.5,-0.5,6219
108/11/15,29038445,8891701115,305.5,307.5,304.5,307.0,3.5,8672
108/11/18,18741325,5796331075,308.5,311.0,307.0,311.0,4.0,8420
108/11/19,33096197,10365611120,312.5,315.0,311.0,315.0,4.0,11121
108/11/20,24538973,7681229345,314.0,314.0,312.0,313.5,-1.5,9143
108/11/21,30163833,9329845096,309.5,311.0,307.0,311.0,-2.5,11638
108/11/22,26492984,8188665024,310.0,310.5,308.0,309.0,-2.0,9407
108/11/25,19855177,6133713443,310.5,310.5,307.0,307.0,-2.0,8067
108/11/26,101916622,31332308518,310.0,310.5,307.0,307.0,0.0,10321
108/11/27,18527648,5732316828,307.5,311.5,307.5,311.0,4.0,7916
108/11/28,19718982,6111322584,310.0,312.0,308.5,309.5,-1.5,9289
108/11/29,32423561,9922872967,309.0,309.5,305.0,305.0,-4.5,15368
