日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/03/04,45164513,10691130829,239.5,239.5,234.5,235.5,-3.5,13323
108/03/05,23708407,5533050748,234.0,234.5,232.5,233.0,-2.5,8706
108/03/06,20811226,4872352124,235.0,235.5,233.5,234.0,1.0,7090
108/03/07,17226192,4029782428,235.0,235.0,233.0,234.0,0.0,5768
108/03/08,22535659,5183171608,231.0,231.5,229.0,230.0,-4.0,8931
108/03/11,34282793,7835079913,228.0,230.5,227.5,230.5,0.5,7451
108/03/12,23839972,5601351324,233.0,237.0,232.5,235.5,5.0,9253
108/03/13,22493195,5308051755,234.0,237.0,234.0,237.0,1.5,6269
108/03/14,17281356,4077045380,239.0,239.0,234.0,234.5,-2.5,6564
108/03/15,34542729,8231572752,237.0,239.5,235.5,239.0,4.5,8872
108/03/18,27040532,6493129050,239.5,241.0,239.0,241.0,2.0,10690
108/03/19,14620009,3496720720,239.0,240.5,238.0,240.5,-0.5,7105
108/03/20,23055971,5563557011,242.0,242.0,239.5,242.0,1.5,6757
108/03/21,27514502,6710510004,242.5,245.5,241.0,245.5,3.5,11071
108/03/22,22996467,5680726299,248.0,248.5,244.5,248.5,3.0,10485
108/03/25,19273254,4662705968,240.5,243.5,240.5,241.5,-7.0,8468
108/03/26,21053170,5109273236,243.0,244.0,241.0,244.0,2.5,6630
108/03/27,23622089,5703467700,242.0,242.5,240.5,241.5,-2.5,7603
108/03/28,13998054,3379510718,240.5,242.5,240.0,242.0,0.5,3948
108/03/29,31024810,7568601014,243.0,245.5,240.5,245.5,3.5,6712
