日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/10/01,75248890,20886838992,273.0,280.5,273.0,280.0,8.0,26648
108/10/02,30572953,8553297334,280.0,281.0,279.0,279.5,-0.5,12294
108/10/03,35874864,9891620358,274.0,277.5,274.0,276.5,-3.0,12853
108/10/04,35814613,9924872301,279.5,280.0,275.0,276.5,0.0,13780
108/10/07,17750230,4944376000,279.0,279.5,277.5,278.0,1.5,7757
108/10/08,39868551,11341522526,283.5,286.5,282.5,286.5,8.5,16721
108/10/09,34895456,9890256397,283.5,286.0,282.0,282.0,-4.5,14567
108/10/14,53403517,15508059122,291.5,291.5,288.5,290.0,8.0,17812
108/10/15,54754830,16088110873,293.5,296.0,292.0,293.5,3.5,15485
108/10/16,42917144,12670374493,298.0,298.0,293.5,296.5,3.0,16650
108/10/17,41920938,12296120182,295.0,295.5,292.0,293.5,-3.0,15170
108/10/18,45460984,13299843176,293.0,295.5,291.0,293.0,-0.5,18000
108/10/21,35860365,10389254035,291.0,291.0,288.5,290.0,-3.0,14682
108/10/22,26525020,7767636380,292.5,294.0,291.5,294.0,4.0,10186
108/10/23,30382408,8877572772,293.5,293.5,290.5,293.0,-1.0,11753
108/10/24,29040827,8488069650,294.5,294.5,291.0,293.0,0.0,10649
108/10/25,25082711,7362074526,294.5,294.5,292.5,293.5,0.5,11064
108/10/28,20216561,5958714595,295.0,295.5,294.0,294.5,1.0,9257
108/10/29,37130131,11044649541,297.0,298.5,296.5,298.5,4.0,14060
108/10/30,32370342,9646551600,298.5,299.5,296.5,299.5,1.0,11084
108/10/31,43123514,12921309531,300.0,301.5,298.5,298.5,-1.0,12997
