日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/06/01,36652094,8209412370,224.5,226.5,224.0,224.0,0.00,7627
107/06/04,31257480,7131988670,227.5,229.0,227.0,229.0,+5.00,9746
107/06/05,27714384,6329201896,230.0,230.0,226.5,229.0,0.00,8509
107/06/06,30375441,6961135060,229.0,230.0,227.0,230.0,+1.00,9758
107/06/07,25277266,5809345446,231.0,231.5,228.0,230.0,0.00,9146
107/06/08,24192851,5493234408,229.0,229.0,226.0,227.0,-3.00,7775
107/06/11,22028933,4980629259,226.5,227.0,225.0,226.0,-1.00,6726
107/06/12,30189360,6837374510,225.0,229.0,224.0,229.0,+3.00,8281
107/06/13,36081120,8311856296,229.0,232.0,228.0,232.0,+3.00,10687
107/06/14,36932041,8423126398,230.0,230.0,226.5,226.5,-5.50,12252
107/06/15,49506679,11291127719,225.0,231.0,224.0,231.0,+4.50,10090
107/06/19,61142624,13754800554,225.5,226.0,224.0,225.0,-6.00,19088
107/06/20,40708701,9175159127,224.5,227.5,223.5,226.0,+1.00,13262
107/06/21,32572707,7379769339,227.5,228.0,226.0,226.5,+0.50,9421
107/06/22,44211409,9994644852,224.5,227.5,224.0,227.5,+1.00,14388
107/06/25,49058211,10749795782,220.0,220.5,218.0,218.0,X0.00,17959
107/06/26,43080346,9242648746,215.5,216.0,212.5,214.5,-3.50,15639
107/06/27,40863414,8742004301,216.0,216.0,212.5,213.0,-1.50,12681
107/06/28,38816780,8231075920,211.0,214.5,210.0,212.0,-1.00,10772
107/06/29,36848680,7919779720,212.0,217.0,212.0,216.5,+4.50,8652
