日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/07/02,33496442,7257081470,218.5,219.0,214.0,214.0,-2.5,8508
107/07/03,28663220,6173115899,215.5,218.0,213.5,214.5,0.5,7758
107/07/04,15359295,3324927032,217.0,217.5,215.5,216.0,1.5,5434
107/07/05,18225416,3904832940,214.0,215.0,213.0,214.5,-1.5,5581
107/07/06,31344962,6779063394,217.5,217.5,215.0,217.0,2.5,8620
107/07/09,41165793,9100880393,219.5,223.0,218.5,221.5,4.5,14795
107/07/10,20196957,4498264914,223.0,224.0,222.0,222.0,0.5,6922
107/07/11,19854690,4355547100,220.0,220.0,218.0,220.0,-2.0,7437
107/07/12,23806051,5246628771,218.0,222.0,218.0,220.5,0.5,7885
107/07/13,30419311,6799894334,222.5,224.5,222.5,224.5,4.0,11723
107/07/16,16107254,3612296896,224.5,225.0,223.5,223.5,-1.0,6321
107/07/17,22554436,5003028272,222.5,223.5,221.0,221.5,-2.0,8636
107/07/18,45802658,10221407834,223.0,224.0,222.0,223.0,1.5,12139
107/07/19,43976216,9930715930,225.5,227.0,224.5,224.5,1.5,12076
107/07/20,103652023,24367904428,235.0,237.5,233.0,237.5,13.0,39544
107/07/23,52269877,12621500480,239.0,245.0,238.5,241.0,3.5,19777
107/07/24,27468267,6599675515,240.0,241.5,238.5,241.0,0.0,10574
107/07/25,21530312,5173924310,239.0,241.0,239.0,240.5,-0.5,8491
107/07/26,30856388,7435261120,241.0,242.5,239.5,241.0,0.5,10235
107/07/27,27129646,6605479210,242.0,244.5,241.0,244.5,3.5,12493
107/07/30,22803730,5585710909,244.5,245.5,244.0,245.5,1.0,9953
107/07/31,28202542,6912550610,243.5,246.0,242.0,246.0,0.5,9460
