日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/09/03,34510555,8901193266,259.0,260.0,256.5,257.0,1.0,11442
107/09/04,41455615,10654493061,258.5,259.5,255.5,257.5,0.5,9069
107/09/05,52706459,13833360422,260.0,264.5,259.0,264.0,6.5,16421
107/09/06,39779488,10467251488,268.0,268.0,261.0,261.0,-3.0,11996
107/09/07,44746728,11753033262,263.0,264.0,260.5,264.0,3.0,15015
107/09/10,62851599,16669866076,266.5,266.5,262.5,264.5,0.5,15504
107/09/11,44981276,11709484991,263.0,263.5,258.0,260.0,-4.5,14768
107/09/12,38415965,9987682900,261.0,262.0,258.0,260.5,0.5,12104
107/09/13,37959180,9721989110,260.0,260.0,253.5,255.0,-5.5,14987
107/09/14,40034219,10379404959,257.0,261.5,257.0,261.0,6.0,15690
107/09/17,25041358,6483537091,262.5,262.5,257.0,258.0,-3.0,10710
107/09/18,34381152,8771502830,256.5,257.0,254.0,254.5,-3.5,11097
107/09/19,69978711,18074954749,258.0,260.0,257.0,258.0,3.5,14056
107/09/20,35577071,9225009310,261.5,261.5,257.5,260.0,2.0,9444
107/09/21,36500974,9510363894,261.5,261.5,258.0,261.5,1.5,10159
107/09/25,24978062,6552894296,261.5,264.0,260.5,263.5,2.0,10082
107/09/26,25061115,6577367245,263.0,263.5,261.0,263.5,0.0,7007
107/09/27,38495371,10185827315,264.0,266.0,262.0,265.0,1.5,11536
107/09/28,39645486,10412455506,266.0,266.0,260.0,262.5,-2.5,13060
